"age","parity","dataset","Freq","percentage"
"15-19",0,"DHS 2011",1924.989767,21.6656138431688
"15-19",0,"PMA 2019",1557.39791887254,19.4967190779058
"15-19",1,"DHS 2011",251.050641,2.82555592566223
"15-19",1,"PMA 2019",137.257285006344,1.71829350401474
"15-19",2,"DHS 2011",31.507224,0.354611416723558
"15-19",2,"PMA 2019",13.6487952619791,0.170866240252397
"15-19",3,"DHS 2011",1.592348,0.017921755981959
"15-19",3,"PMA 2019",4.43795873969793,0.055557821015882
"15-19",4,"DHS 2011",0.943743,0.0106217558948684
"20-24",0,"DHS 2011",605.228453,6.81180034012953
"20-24",0,"PMA 2019",749.298118844628,9.38029693740245
"20-24",1,"DHS 2011",467.820574,5.26528508251212
"20-24",1,"PMA 2019",408.466988563538,5.11350762198703
"20-24",2,"DHS 2011",266.3605,2.99786722766167
"20-24",2,"PMA 2019",237.811117492616,2.97710462764261
"20-24",3,"DHS 2011",99.296383,1.11757326037848
"20-24",3,"PMA 2019",64.8384111151099,0.811697686025049
"20-24",4,"DHS 2011",34.820152,0.391898170122814
"20-24",4,"PMA 2019",12.7547041401267,0.159673311828925
"20-24",5,"DHS 2011",5.965134,0.0671371307953332
"20-24",5,"PMA 2019",2.78108644485474,0.0348158042910178
"20-24",6,"DHS 2011",1.151756,0.0129629264348982
"20-24",6,"PMA 2019",3.98844616860151,0.049930472851067
"25-29",0,"DHS 2011",247.783432,2.78878373614081
"25-29",0,"PMA 2019",274.874248288572,3.44108974057993
"25-29",1,"DHS 2011",277.57045,3.1240343647887
"25-29",1,"PMA 2019",363.333195410669,4.54848767727128
"25-29",2,"DHS 2011",441.152803,4.96514134229656
"25-29",2,"PMA 2019",348.896041609347,4.36775215134181
"25-29",3,"DHS 2011",292.680037,3.29409162061606
"25-29",3,"PMA 2019",218.121899716556,2.73061967784798
"25-29",4,"DHS 2011",215.083646,2.42075012454693
"25-29",4,"PMA 2019",131.797974981368,1.64994961281882
"25-29",5,"DHS 2011",98.512674,1.1087526750172
"25-29",5,"PMA 2019",66.6697190850973,0.834623424272999
"25-29",6,"DHS 2011",94.500106,1.06359152647616
"25-29",6,"PMA 2019",34.1055151596665,0.426959378857176
"30-34",0,"DHS 2011",56.051299,0.63085311951271
"30-34",0,"PMA 2019",80.5531638488173,1.00842718958677
"30-34",1,"DHS 2011",72.76956,0.81901587921392
"30-34",1,"PMA 2019",109.225431703031,1.36736895065241
"30-34",2,"DHS 2011",172.343391,1.93971179579172
"30-34",2,"PMA 2019",181.240253522992,2.26890653039033
"30-34",3,"DHS 2011",222.319426,2.50218827971097
"30-34",3,"PMA 2019",203.008983455598,2.54142443158675
"30-34",4,"DHS 2011",214.917792,2.41888345035471
"30-34",4,"PMA 2019",158.882935829461,1.98902022957786
"30-34",5,"DHS 2011",189.081659,2.12809973276067
"30-34",5,"PMA 2019",133.285289280117,1.66856897060264
"30-34",6,"DHS 2011",232.244519,2.61389444874202
"30-34",6,"PMA 2019",171.048751704395,2.14132137984447
"35-39",0,"DHS 2011",43.272801,0.487032093598807
"35-39",0,"PMA 2019",51.4862041473389,0.644544368837397
"35-39",1,"DHS 2011",53.898923,0.606628290861294
"35-39",1,"PMA 2019",75.1419377774,0.940685250739281
"35-39",2,"DHS 2011",97.615577,1.09865591631486
"35-39",2,"PMA 2019",115.708237498999,1.44852575836928
"35-39",3,"DHS 2011",125.994307,1.41805637032234
"35-39",3,"PMA 2019",140.616724468768,1.76034958144003
"35-39",4,"DHS 2011",200.927002,2.26141816991675
"35-39",4,"PMA 2019",191.631846480072,2.3989965775138
"35-39",5,"DHS 2011",187.951157,2.11537601848395
"35-39",5,"PMA 2019",152.841292724013,1.91338623972307
"35-39",6,"DHS 2011",355.25537,3.99837224803911
"35-39",6,"PMA 2019",322.154751136899,4.03298386778109
"40-44",0,"DHS 2011",17.92331,0.201725494809556
"40-44",0,"PMA 2019",33.8592051640153,0.423875878659122
"40-44",1,"DHS 2011",35.990395,0.405069166340724
"40-44",1,"PMA 2019",31.2340147122741,0.391011701724397
"40-44",2,"DHS 2011",25.493553,0.286928005674099
"40-44",2,"PMA 2019",63.5395810455084,0.795437920495575
"40-44",3,"DHS 2011",52.439499,0.590202584418849
"40-44",3,"PMA 2019",65.3620239719748,0.818252679230167
"40-44",4,"DHS 2011",124.618831,1.40257549225357
"40-44",4,"PMA 2019",100.362361006439,1.25641413464483
"40-44",5,"DHS 2011",102.804942,1.15706182584677
"40-44",5,"PMA 2019",82.7754995375872,1.03624811710676
"40-44",6,"DHS 2011",380.042777,4.27735263403482
"40-44",6,"PMA 2019",321.994224198163,4.0309742666438
"45-49",0,"DHS 2011",19.691702,0.22162861266096
"45-49",0,"PMA 2019",19.9553929045796,0.249817137184493
"45-49",1,"DHS 2011",15.912199,0.179090593020102
"45-49",1,"PMA 2019",19.9782273769379,0.250102996878708
"45-49",2,"DHS 2011",26.229672,0.295212969194437
"45-49",2,"PMA 2019",39.1511731818318,0.490124852387894
"45-49",3,"DHS 2011",42.867626,0.482471879700846
"45-49",3,"PMA 2019",45.8187124058604,0.57359429691233
"45-49",4,"DHS 2011",68.680714,0.772996227567541
"45-49",4,"PMA 2019",60.0325758457184,0.751534500337828
"45-49",5,"DHS 2011",93.90717,1.05691807676233
"45-49",5,"PMA 2019",65.6165288388729,0.82143876920354
"45-49",6,"DHS 2011",295.744898,3.32858639874284
"45-49",6,"PMA 2019",321.015245839953,4.01871865373841
