"age","parity","percent"
"10","1",0.0326384033240876
"11","1",0.0460328154378849
"12","1",0.0138439883783784
"13","1",0.0627067326636092
"14","1",0.064992632831687
"15","1",0.125543912763332
"16","1",0.126451250894046
"17","1",0.159350195029562
"18","1",0.132142408394296
"19","1",0.124820225514817
"20","1",0.0863211935549021
"21","1",0.0149075054783382
"22","1",0.0160524037363538
"23","1",0.0105028416374775
"24","1",0.00326978147154652
"25","1",0.00428026139935688
"26","1",0
"27","1",0
"28","1",0
"29","1",0
"30","1",0
"31","1",0
"32","1",0
"33","1",0
"34","1",0
"35","1",0
"36","1",0
"37","1",0
"38","1",0
"39","1",0
"41","1",0
"42","1",0
"43","1",0
"45","1",0
"59","1",0
"60","1",0
"10","2+",0
"11","2+",0
"12","2+",0
"13","2+",0.329122944705331
"14","2+",0.126358549532772
"15","2+",0.320678858157463
"16","2+",0.294200839393594
"17","2+",0.302360599103761
"18","2+",0.32787314892035
"19","2+",0.2845216450521
"20","2+",0.149036633131833
"21","2+",0.0251307750594842
"22","2+",0.0254646368959791
"23","2+",0.011709749245377
"24","2+",0.00347289347358203
"25","2+",0.0030040167177459
"26","2+",0
"27","2+",0
"28","2+",0
"29","2+",0
"30","2+",0
"31","2+",0
"32","2+",0
"33","2+",0
"34","2+",0
"35","2+",0
"36","2+",0
"37","2+",0
"38","2+",0
"39","2+",0
"41","2+",0
"42","2+",0
"43","2+",0
"45","2+",0
"59","2+",NA
"60","2+",NA
